Reference;Specie;Infection;n_infection;n_tested_infection;Dissemination_among_infected;n_dissemination_among_infected;n_tested_dissemination_among_infected;Dissemination;n_dissemination;n_tested_dissemination;Transmission_among_infected;n_transmission_among_infected;n_tested_transmission_among_infected;Transmission;n_transmission;n_tested_transmission;Status_of_Mosquitoes_tested_for_transmission;dpe_infection;dpe_infection_cat;dpe_dissemination;dpe_dissemination_cat;dpe_transmission;dpe_transmission_cat;Temperature;Temperature_class;Blood_meal_titer(log10pfu/ml);blood_meal_titer2;blood_meal_titer_class;Viral_strain;Country;Generation;Generation_cat
Moutailler et al., 2008;Ae. caspius;;;;;;;7.3;5;68;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;France;F0;F0/F1
Moutailler et al., 2008;Ae. detritus;;;;;;;12.5;1;8;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;France;F0;F0/F1
Moutailler et al., 2008;Ae. detritus;;;;;;;0;0;2;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;France;F0;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;9.1;1;11;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;France;F0;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;14;15;107;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;France;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;3.9;5;128;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;France;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;2.8;1;35;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;0;0;7;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;14.7;5;34;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;14.7;5;34;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;2.7;3;110;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;3.1;4;130;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;0;0;14;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F0;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;0;0;18;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F0;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;4.7;4;85;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;8.9;7;79;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;5.8;3;52;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F2;F2/F5
Moutailler et al., 2008;Cx. pipiens;;;;;;;5.9;4;68;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F2;F2/F5
Moutailler et al., 2008;Cx. pipiens;;;;;;;2.4;1;41;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;2.1;1;48;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Tunisia;F1;F0/F1
Moutailler et al., 2008;Cx. pipiens;;;;;;;30.2;35;116;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Cyprus;Colony;>F5
Moutailler et al., 2008;Cx. pipiens;;;;;;;14.3;14;98;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Cyprus;Colony;>F5
Moutailler et al., 2008;Ae. vexans;;;;;;;8.3;2;24;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;ZH548;Germany;Colony;>F5
Moutailler et al., 2008;Ae. vexans;;;;;;;25;5;20;;;;;;;;;;14;2w;;;28°C;>25°C;8.5;8.5;high;clone13;Germany;Colony;>F5
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;4;;;;infected;;;;;8;2w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;2;;;;infected;;;;;10;2w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;2;;;;infected;;;;;12;2w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;4;;;;infected;;;;;14;2w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;25;1;4;;;;infected;;;;;16;3w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;33.3;1;3;;;;infected;;;;;18;3w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;16.7;1;6;;;;infected;;;;;20;3w;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;5;;;;infected;;;;;6;1w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;12.5;1;8;;;;infected;;;;;8;2w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;6;;;;infected;;;;;10;2w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;14.3;1;7;;;;infected;;;;;12;2w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;16.7;1;6;;;;infected;;;;;14;2w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;5;;;;infected;;;;;18;3w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;;;;;;;;;;0;0;1;;;;infected;;;;;20;3w;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;77.5;31;40;;;;;;;;;;;;;;1->21;1_to_3w;;;;;27°C;>25°C;9.45 log 10 SMICLD50/ml;9.45 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Gad et al., 1987;Ae. caspius;82.14;46;56;;;;;;;;;;;;;;1->21;1_to_3w;;;;;27°C;>25°C;9.50 log 10 SMICLD50/ml;9.50 log 10 SMICLD50/ml;high;ZH501;Egypt;F1;F0/F1
Turell et al., 1996;Ae. caspius;100;8;8;37.5;3;8;37.5;3;8;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;5.3;5.3;medium;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;31.4;16;51;0;0;16;0;0;51;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;5.3;5.3;medium;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Ae. caspius;100;5;5;80;4;5;80;4;5;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;6;6;medium;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;57.9;22;38;9.1;2;22;5.2;2;38;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;6;6;medium;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Ae. caspius;100;15;15;33.3;5;15;33.3;5;15;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;>7;>7;high;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;75.6;262;346;13.7;36;262;10.4;36;346;;;;;;;;7->21;1_to_3w;7->21;1_to_3w;;;26°C;>25°C;>7;>7;high;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Ae. caspius;;;;;;;;;;50;1;2;20;1;5;disseminated;;;;;7->21;1_to_3w;26°C;>25°C;>7;>7;high;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;;;;;;;;;;77.8;7;9;6.9;7;102;disseminated;;;;;7->21;1_to_3w;26°C;>25°C;>7;>7;high;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Ae. caspius;;;;;;;;;;100;5;5;;;;inoculated;;;;;7->21;1_to_3w;26°C;>25°C;0,3µL * 10^5,5 PFU/ml;2,9 PFU;NA;ZH501, Egypt93;Egypt;F0;F0/F1
Turell et al., 1996;Cx. pipiens;;;;;;;;;;100;6;6;;;;inoculated;;;;;7->21;1_to_3w;26°C;>25°C;2 log10 PFU;2 PFU;NA;ZH501, Egypt93;Egypt;F0;F0/F1
Lumley et al., 2018;Cx. pipiens;0;0;10;NA;NA;NA;0;0;10;NA;NA;NA;0;0;10;disseminated;7;1w;7;1w;7;1w;25°C;20-25°C;6;6;medium;ZH501;England;>F100;>F5
